"experiment_id","category","scenario","m","initial_nodes","joins","final_nodes","verification_mode","routing_mode","one_query_constraint","model","config","properties","result","states_generated","distinct_states","depth","wall_seconds","generated_states_per_second","distinct_states_per_second","workers","heap_gb","tlc_version","run_at"
"dynamic-m2-n3-one-join-invariant","dynamic_matrix","M2-N3-J1","2","2","1","3","invariant","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m2-n3-one-join-invariant.cfg","TypeOK; SuccessorCoreReachable; deadlock","Passed","10209","1296","16","2.629","3883.9","493.0","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:00:29.8608681+02:00"
"dynamic-m2-n3-one-join-temporal","dynamic_matrix","M2-N3-J1","2","2","1","3","temporal","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m2-n3-one-join-temporal.cfg","TypeOK; SuccessorCoreReachable; deadlock; EventuallyStableAfterJoins","Passed","10209","1296","16","5.206","1960.9","248.9","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:00:35.1205363+02:00"
"dynamic-m3-n3-one-join-invariant","dynamic_matrix","M3-N3-J1","3","2","1","3","invariant","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n3-one-join-invariant.cfg","TypeOK; SuccessorCoreReachable; deadlock","Passed","51409","6516","21","3.558","14447.1","1831.1","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:00:38.6930266+02:00"
"dynamic-m3-n3-one-join-temporal","dynamic_matrix","M3-N3-J1","3","2","1","3","temporal","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n3-one-join-temporal.cfg","TypeOK; SuccessorCoreReachable; deadlock; EventuallyStableAfterJoins","Passed","51409","6516","21","14.625","3515.2","445.5","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:00:53.3381475+02:00"
"dynamic-m3-n4-one-join-invariant","dynamic_matrix","M3-N4-J1","3","3","1","4","invariant","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n4-one-join-invariant.cfg","TypeOK; SuccessorCoreReachable; deadlock","Passed","810541","77976","27","12.113","66915.4","6437.4","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:01:05.4704629+02:00"
"dynamic-m3-n4-one-join-temporal","dynamic_matrix","M3-N4-J1","3","3","1","4","temporal","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n4-one-join-temporal.cfg","TypeOK; SuccessorCoreReachable; deadlock; EventuallyStableAfterJoins","Passed","810541","77976","27","235.580","3440.6","331.0","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:05:01.0837617+02:00"
"dynamic-m3-n4-two-joins-invariant","dynamic_matrix","M3-N4-J2","3","2","2","4","invariant","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n4-two-joins-invariant.cfg","TypeOK; SuccessorCoreReachable; deadlock","Passed","25309837","2345796","35","226.748","111621.0","10345.4","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T16:08:47.8530505+02:00"
"dynamic-m3-n4-two-joins-temporal","dynamic_matrix","M3-N4-J2","3","2","2","4","temporal","n/a","n/a","ChordDynamic.tla","configs/week3/dynamic-m3-n4-two-joins-temporal.cfg","TypeOK; SuccessorCoreReachable; deadlock; EventuallyStableAfterJoins","Passed","25309837","2345796","35","6223.400","4066.9","376.9","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:31.2891860+02:00"
"static-m3-n4-finger","lookup_baseline","M3-N4","3","4","0","4","invariant","finger","yes","ChordStatic.tla","configs/week3/static-m3-n4-finger.cfg","TypeOK; LookupCorrect","Passed","3073","97","5","2.788","1102.1","34.8","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:34.3564377+02:00"
"static-m3-n4-linear","lookup_baseline","M3-N4","3","4","0","4","invariant","successor-only","yes","ChordStatic.tla","configs/week3/static-m3-n4-linear.cfg","TypeOK; LookupCorrect","Passed","3585","113","6","2.389","1500.8","47.3","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:36.7628632+02:00"
"static-m4-n8-finger","lookup_baseline","M4-N8","4","8","0","8","invariant","finger","yes","ChordStatic.tla","configs/week3/static-m4-n8-finger.cfg","TypeOK; LookupCorrect","Passed","57345","449","6","4.006","14315.5","112.1","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:40.7842869+02:00"
"static-m4-n8-linear","lookup_baseline","M4-N8","4","8","0","8","invariant","successor-only","yes","ChordStatic.tla","configs/week3/static-m4-n8-linear.cfg","TypeOK; LookupCorrect","Passed","90113","705","10","3.937","22891.5","179.1","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:44.7342118+02:00"
"static-m2-n2-unconstrained","workload_baseline","M2-N2","2","2","0","2","invariant","finger","no","ChordStatic.tla","configs/static-m2-basic.cfg","TypeOK; LookupCorrect","Passed","117505","20736","21","5.315","22109.5","3901.6","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:50.0697387+02:00"
"static-m2-n2-one-query","workload_baseline","M2-N2","2","2","0","2","invariant","finger","yes","ChordStatic.tla","configs/week3/static-m2-n2-one-query.cfg","TypeOK; LookupCorrect","Passed","161","21","4","1.940","83.0","10.8","1","4","2026.05.18.174321 (rev: 8ba1027)","2026-06-13T17:52:52.0271806+02:00"
